filebasename,tot_aggs,n_bud,n_mom
20220601_y236_000_D3Dc000_predict_predict.tif,2,0,2
20220601_y236_000_D3Dc001_predict_predict.tif,2,0,2
20220601_y236_000_D3Dc002_predict_predict.tif,4,0,4
20220601_y236_000_D3Dc004_predict_predict.tif,2,0,2
20220601_y236_001_D3Dc000_predict_predict.tif,2,0,2
20220601_y236_001_D3Dc003_predict_predict.tif,2,0,2
20220601_y236_001_D3Dc006_predict_predict.tif,3,0,3
20220601_y236_001_D3Dc007_predict_predict.tif,1,0,1
20220601_y236_002_D3Dc002_predict_predict.tif,3,0,3
20220601_y236_002_D3Dc004_predict_predict.tif,2,0,2
20220601_y236_002_D3Dc007_predict_predict.tif,2,0,2
20220601_y236_002_D3Dc010_predict_predict.tif,1,0,1
20220601_y236_003_D3Dc000_predict_predict.tif,2,0,2
20220601_y236_003_D3Dc001_predict_predict.tif,1,0,1
20220601_y236_003_D3Dc002_predict_predict.tif,1,0,1
20220601_y236_003_D3Dc003_predict_predict.tif,1,0,1
20220601_y236_003_D3Dc005_predict_predict.tif,1,0,1
20220601_y236_003_D3Dc007_predict_predict.tif,4,1,3
20220601_y236_004_D3Dc000_predict_predict.tif,2,1,1
20220601_y236_004_D3Dc001_predict_predict.tif,2,0,2
20220601_y236_004_D3Dc002_predict_predict.tif,2,0,2
20220601_y236_004_D3Dc006_predict_predict.tif,3,0,3
20220601_y236_004_D3Dc007_predict_predict.tif,1,0,1
20220601_y236_005_D3Dc000_predict_predict.tif,2,0,2
20220601_y236_005_D3Dc001_predict_predict.tif,2,0,2
20220601_y236_005_D3Dc002_predict_predict.tif,2,0,2
20220601_y236_005_D3Dc004_predict_predict.tif,1,0,1
20220601_y236_005_D3Dc006_predict_predict.tif,1,0,1
20220601_y236_005_D3Dc007_predict_predict.tif,1,1,0
20220601_y236_005_D3Dc008_predict_predict.tif,1,0,1
20220601_y236_005_D3Dc009_predict_predict.tif,2,0,2
20220601_y236_006_D3Dc000_predict_predict.tif,1,0,1
20220601_y236_006_D3Dc002_predict_predict.tif,1,0,1
