,filebasename,structtype,event,freq
0,20220518_y200_d5mi10s_000_D3D_3DALIGN_predictc000_predict.tif,WT,None,0.9473684210526315
1,20220518_y200_d5mi10s_000_D3D_3DALIGN_predictc000_predict.tif,WT,Fission,0.017543859649122806
2,20220518_y200_d5mi10s_000_D3D_3DALIGN_predictc000_predict.tif,WT,Fusion,0.03508771929824561
3,20220518_y200_d5mi10s_000_D3D_3DALIGN_predictc002_predict.tif,WT,None,0.967741935483871
4,20220518_y200_d5mi10s_000_D3D_3DALIGN_predictc002_predict.tif,WT,Fission,0.03225806451612903
5,20220518_y200_d5mi10s_000_D3D_3DALIGN_predictc002_predict.tif,WT,Fusion,0.0
6,20220518_y200_d5mi10s_000_D3D_3DALIGN_predictc003_predict.tif,WT,None,0.9867549668874173
7,20220518_y200_d5mi10s_000_D3D_3DALIGN_predictc003_predict.tif,WT,Fission,0.0
8,20220518_y200_d5mi10s_000_D3D_3DALIGN_predictc003_predict.tif,WT,Fusion,0.013245033112582781
9,20220518_y200_d5mi10s_000_D3D_3DALIGN_predictc005_predict.tif,WT,None,0.5737704918032787
10,20220518_y200_d5mi10s_000_D3D_3DALIGN_predictc005_predict.tif,WT,Fission,0.14754098360655737
11,20220518_y200_d5mi10s_000_D3D_3DALIGN_predictc005_predict.tif,WT,Fusion,0.2786885245901639
12,20220518_y200_d5mi10s_000_D3D_3DALIGN_predictc006_predict.tif,WT,None,0.9689922480620154
13,20220518_y200_d5mi10s_000_D3D_3DALIGN_predictc006_predict.tif,WT,Fission,0.015503875968992248
14,20220518_y200_d5mi10s_000_D3D_3DALIGN_predictc006_predict.tif,WT,Fusion,0.015503875968992248
15,20220518_y200_d5mi10s_000_D3D_3DALIGN_predictc008_predict.tif,WT,None,0.696969696969697
16,20220518_y200_d5mi10s_000_D3D_3DALIGN_predictc008_predict.tif,WT,Fission,0.09090909090909091
17,20220518_y200_d5mi10s_000_D3D_3DALIGN_predictc008_predict.tif,WT,Fusion,0.21212121212121213
18,20220518_y200_d5mi10s_000_D3D_3DALIGN_predictc014_predict.tif,WT,None,0.9069767441860465
19,20220518_y200_d5mi10s_000_D3D_3DALIGN_predictc014_predict.tif,WT,Fission,0.023255813953488372
20,20220518_y200_d5mi10s_000_D3D_3DALIGN_predictc014_predict.tif,WT,Fusion,0.06976744186046512
21,20220518_y200_d5mi10s_001_D3D_3DALIGN_predictc000_predict.tif,WT,None,0.8795180722891566
22,20220518_y200_d5mi10s_001_D3D_3DALIGN_predictc000_predict.tif,WT,Fission,0.03614457831325301
23,20220518_y200_d5mi10s_001_D3D_3DALIGN_predictc000_predict.tif,WT,Fusion,0.08433734939759036
24,20220518_y200_d5mi10s_001_D3D_3DALIGN_predictc002_predict.tif,WT,None,0.975609756097561
25,20220518_y200_d5mi10s_001_D3D_3DALIGN_predictc002_predict.tif,WT,Fission,0.0
26,20220518_y200_d5mi10s_001_D3D_3DALIGN_predictc002_predict.tif,WT,Fusion,0.024390243902439025
27,20220518_y200_d5mi10s_001_D3D_3DALIGN_predictc003_predict.tif,WT,None,1.0
28,20220518_y200_d5mi10s_001_D3D_3DALIGN_predictc003_predict.tif,WT,Fission,0.0
29,20220518_y200_d5mi10s_001_D3D_3DALIGN_predictc003_predict.tif,WT,Fusion,0.0
30,20220518_y200_d5mi10s_001_D3D_3DALIGN_predictc005_predict.tif,WT,None,0.8452380952380952
31,20220518_y200_d5mi10s_001_D3D_3DALIGN_predictc005_predict.tif,WT,Fission,0.05952380952380952
32,20220518_y200_d5mi10s_001_D3D_3DALIGN_predictc005_predict.tif,WT,Fusion,0.09523809523809523
33,20220518_y200_d5mi10s_001_D3D_3DALIGN_predictc007_predict.tif,WT,None,0.7909090909090909
34,20220518_y200_d5mi10s_001_D3D_3DALIGN_predictc007_predict.tif,WT,Fission,0.06363636363636363
35,20220518_y200_d5mi10s_001_D3D_3DALIGN_predictc007_predict.tif,WT,Fusion,0.14545454545454545
36,20220518_y200_d5mi10s_001_D3D_3DALIGN_predictc009_predict.tif,WT,None,0.6530612244897959
37,20220518_y200_d5mi10s_001_D3D_3DALIGN_predictc009_predict.tif,WT,Fission,0.10204081632653061
38,20220518_y200_d5mi10s_001_D3D_3DALIGN_predictc009_predict.tif,WT,Fusion,0.24489795918367346
39,20220518_y200_d5mi10s_002_D3D_3DALIGN_predictc002_predict.tif,WT,None,0.9859154929577465
