"X","mitoType","freq","placeholder"
0,"DUMP+",74.5762711864407,"X"
1,"DUMP-",25.4237288135593,"X"
2,"DUMP+",68.135593220339,"X"
3,"DUMP-",31.864406779661,"X"
4,"DUMP+",69.8305084745763,"X"
5,"DUMP-",30.1694915254237,"X"
6,"DUMP+",72.5423728813559,"X"
7,"DUMP-",27.4576271186441,"X"
8,"DUMP+",64.0677966101695,"X"
9,"DUMP-",35.9322033898305,"X"
10,"DUMP+",72.2033898305085,"X"
11,"DUMP-",27.7966101694915,"X"
12,"DUMP+",68.4745762711864,"X"
13,"DUMP-",31.5254237288136,"X"
14,"DUMP+",66.4406779661017,"X"
15,"DUMP-",33.5593220338983,"X"
16,"DUMP+",68.4745762711864,"X"
17,"DUMP-",31.5254237288136,"X"
18,"DUMP+",73.2203389830509,"X"
19,"DUMP-",26.7796610169492,"X"
20,"DUMP+",69.4915254237288,"X"
21,"DUMP-",30.5084745762712,"X"
22,"DUMP+",70.5084745762712,"X"
23,"DUMP-",29.4915254237288,"X"
24,"DUMP+",73.2203389830509,"X"
25,"DUMP-",26.7796610169492,"X"
26,"DUMP+",70.1694915254237,"X"
27,"DUMP-",29.8305084745763,"X"
28,"DUMP+",71.1864406779661,"X"
29,"DUMP-",28.8135593220339,"X"
30,"DUMP+",70.8474576271186,"X"
31,"DUMP-",29.1525423728814,"X"
32,"DUMP+",70.8474576271186,"X"
33,"DUMP-",29.1525423728814,"X"
34,"DUMP+",73.2203389830509,"X"
35,"DUMP-",26.7796610169492,"X"
36,"DUMP+",77.2881355932203,"X"
37,"DUMP-",22.7118644067797,"X"
38,"DUMP+",72.5423728813559,"X"
39,"DUMP-",27.4576271186441,"X"
40,"DUMP+",75.2542372881356,"X"
41,"DUMP-",24.7457627118644,"X"
42,"DUMP+",72.2033898305085,"X"
43,"DUMP-",27.7966101694915,"X"
44,"DUMP+",64.4067796610169,"X"
45,"DUMP-",35.5932203389831,"X"
46,"DUMP+",74.9152542372881,"X"
47,"DUMP-",25.0847457627119,"X"
48,"DUMP+",71.5254237288136,"X"
49,"DUMP-",28.4745762711864,"X"
50,"DUMP+",73.5593220338983,"X"
51,"DUMP-",26.4406779661017,"X"
52,"DUMP+",67.1186440677966,"X"
53,"DUMP-",32.8813559322034,"X"
54,"DUMP+",71.864406779661,"X"
55,"DUMP-",28.135593220339,"X"
56,"DUMP+",76.6101694915254,"X"
57,"DUMP-",23.3898305084746,"X"
58,"DUMP+",74.9152542372881,"X"
59,"DUMP-",25.0847457627119,"X"
60,"DUMP+",71.864406779661,"X"
61,"DUMP-",28.135593220339,"X"
62,"DUMP+",76.6101694915254,"X"
63,"DUMP-",23.3898305084746,"X"
64,"DUMP+",74.2372881355932,"X"
65,"DUMP-",25.7627118644068,"X"
66,"DUMP+",72.5423728813559,"X"
67,"DUMP-",27.4576271186441,"X"
68,"DUMP+",70.5084745762712,"X"
69,"DUMP-",29.4915254237288,"X"
70,"DUMP+",73.2203389830509,"X"
71,"DUMP-",26.7796610169492,"X"
72,"DUMP+",67.4576271186441,"X"
73,"DUMP-",32.5423728813559,"X"
74,"DUMP+",68.135593220339,"X"
75,"DUMP-",31.864406779661,"X"
76,"DUMP+",72.2033898305085,"X"
77,"DUMP-",27.7966101694915,"X"
78,"DUMP+",72.8813559322034,"X"
79,"DUMP-",27.1186440677966,"X"
80,"DUMP+",70.8474576271186,"X"
81,"DUMP-",29.1525423728814,"X"
82,"DUMP+",70.8474576271186,"X"
83,"DUMP-",29.1525423728814,"X"
84,"DUMP+",71.5254237288136,"X"
85,"DUMP-",28.4745762711864,"X"
86,"DUMP+",67.7966101694915,"X"
87,"DUMP-",32.2033898305085,"X"
88,"DUMP+",75.9322033898305,"X"
89,"DUMP-",24.0677966101695,"X"
90,"DUMP+",71.864406779661,"X"
91,"DUMP-",28.135593220339,"X"
92,"DUMP+",70.8474576271186,"X"
93,"DUMP-",29.1525423728814,"X"
94,"DUMP+",69.1525423728814,"X"
95,"DUMP-",30.8474576271186,"X"
96,"DUMP+",73.5593220338983,"X"
97,"DUMP-",26.4406779661017,"X"
98,"DUMP+",69.8305084745763,"X"
99,"DUMP-",30.1694915254237,"X"
100,"DUMP+",71.5254237288136,"X"
101,"DUMP-",28.4745762711864,"X"
102,"DUMP+",66.7796610169491,"X"
103,"DUMP-",33.2203389830508,"X"
104,"DUMP+",71.864406779661,"X"
105,"DUMP-",28.135593220339,"X"
106,"DUMP+",74.9152542372881,"X"
107,"DUMP-",25.0847457627119,"X"
108,"DUMP+",71.5254237288136,"X"
109,"DUMP-",28.4745762711864,"X"
110,"DUMP+",67.7966101694915,"X"
111,"DUMP-",32.2033898305085,"X"
112,"DUMP+",71.5254237288136,"X"
113,"DUMP-",28.4745762711864,"X"
114,"DUMP+",66.7796610169491,"X"
115,"DUMP-",33.2203389830508,"X"
116,"DUMP+",70.1694915254237,"X"
117,"DUMP-",29.8305084745763,"X"
118,"DUMP+",72.2033898305085,"X"
119,"DUMP-",27.7966101694915,"X"
120,"DUMP+",70.8474576271186,"X"
121,"DUMP-",29.1525423728814,"X"
122,"DUMP+",72.5423728813559,"X"
123,"DUMP-",27.4576271186441,"X"
124,"DUMP+",64.7457627118644,"X"
125,"DUMP-",35.2542372881356,"X"
126,"DUMP+",73.5593220338983,"X"
127,"DUMP-",26.4406779661017,"X"
128,"DUMP+",76.6101694915254,"X"
129,"DUMP-",23.3898305084746,"X"
130,"DUMP+",72.8813559322034,"X"
131,"DUMP-",27.1186440677966,"X"
132,"DUMP+",74.2372881355932,"X"
133,"DUMP-",25.7627118644068,"X"
134,"DUMP+",68.135593220339,"X"
135,"DUMP-",31.864406779661,"X"
136,"DUMP+",71.5254237288136,"X"
