"t_interval","struct_type","N","MSD","sd","se","ci"
10,"0.51<V<0.80",1699,0.00230723593900329,0.00510685076010393,0.000123895769399474,0.000243004461657715
10,"V<0.51",2052,0.0025769373823462,0.00490298135205758,0.000108235957448113,0.000212263841260069
10,"V>0.80",1715,0.00161266378544821,0.00775188738912236,0.000187186874545517,0.000367138789457898
20,"0.51<V<0.80",1614,0.00406173654968086,0.00910746436563439,0.000226696970017642,0.000444651550456119
20,"V<0.51",1830,0.00404392865915771,0.00721152381449592,0.000168578232924271,0.000330626058750028
20,"V>0.80",1632,0.00249884723570349,0.00828112252030228,0.000204988327914153,0.000402068110808234
30,"0.51<V<0.80",1531,0.00534927731409484,0.0111696695496308,0.000285464908771193,0.000559943898943078
30,"V<0.51",1661,0.00505596690860822,0.00770812420213969,0.000189131509018352,0.00037096142372458
30,"V>0.80",1558,0.00322113204270332,0.00900946364595497,0.000228252325283433,0.000447714371905497
40,"0.51<V<0.80",1459,0.00652416608646894,0.0130526161260954,0.000341719623953516,0.00067031461225368
40,"V<0.51",1528,0.00584063634040742,0.00844934485945812,0.000216153045562755,0.000423988250872397
40,"V>0.80",1482,0.00348227311260938,0.00523736477763338,0.000136046922260949,0.000266865163475227
50,"0.51<V<0.80",1389,0.00755029021384595,0.0137985177223294,0.000370238274155582,0.000726287010836597
50,"V<0.51",1415,0.00664510921669139,0.00921276713002741,0.000244913020100854,0.00048043193586983
50,"V>0.80",1410,0.00393039963334191,0.00538943902976149,0.000143527132027453,0.000281549864073128
60,"0.51<V<0.80",1323,0.0086868182557285,0.015412151982638,0.000423724290284165,0.00083124538783547
60,"V<0.51",1313,0.00743419300685294,0.010397548165693,0.000286944944654346,0.000562921062682894
60,"V>0.80",1345,0.00437828710281567,0.00608333522804162,0.000165874874454408,0.000325401822115323
70,"0.51<V<0.80",1253,0.00958798299125798,0.017040554369161,0.000481402325388371,0.000944444241353834
70,"V<0.51",1230,0.00821908808542864,0.0112736483538195,0.000321448888584194,0.000630649320759211
70,"V>0.80",1281,0.00495114646112701,0.00701006922985129,0.000195860898335343,0.00038424364059843
80,"0.51<V<0.80",1188,0.010292109015822,0.0179760962451882,0.000521539449599396,0.00102324190261522
80,"V<0.51",1158,0.0087684011568787,0.0116226803895598,0.0003415482116213,0.000670123212650888
80,"V>0.80",1218,0.00537702172138671,0.00735471697709204,0.000210737741226575,0.000413449571313658
90,"0.51<V<0.80",1123,0.0110859293933466,0.0198542904878062,0.000592467447677597,0.00116246885686975
90,"V<0.51",1090,0.00913908599543507,0.0115802524390202,0.000350755732657559,0.000688233523111339
90,"V>0.80",1157,0.00573536852469972,0.00718333484257282,0.000211183231710472,0.000414345351765054
100,"0.51<V<0.80",1060,0.0118208429027949,0.0202725695893903,0.000622667025221946,0.00122180135177729
100,"V<0.51",1028,0.00987866348802669,0.0127285914188982,0.000396993858940204,0.000779011746549763
100,"V>0.80",1100,0.00625564459772808,0.00732644186339089,0.00022090053372018,0.000433434436731095
110,"0.51<V<0.80",999,0.0126764694713227,0.023312675055743,0.000737580397717943,0.0014473863545516
110,"V<0.51",968,0.0106702378539774,0.0137877993594672,0.000443156655669035,0.000869659587713769
110,"V>0.80",1041,0.00691568781386127,0.00854460324145963,0.000264829607470992,0.000519661268660746
120,"0.51<V<0.80",940,0.0135239867568133,0.0251811220577265,0.000821317641462013,0.00161183058963189
120,"V<0.51",906,0.0112517763978932,0.0140119437019569,0.000465515648848874,0.000913615765295187
120,"V>0.80",984,0.00748978840344262,0.0095104129450509,0.000303180891269029,0.000594956179707336
130,"0.51<V<0.80",886,0.0141403695441343,0.0251353029947633,0.00084443701886201,0.00165733273122795
130,"V<0.51",847,0.0118716420679052,0.0153074737418776,0.000525971022359215,0.00103236121415673
130,"V>0.80",922,0.00777225824863829,0.00938024252740075,0.000308921835603864,0.000606272408018096
140,"0.51<V<0.80",830,0.0143016150557897,0.0240251929570579,0.000833926621706128,0.00163685594225318
140,"V<0.51",787,0.0123938125027257,0.0161241439652007,0.000574763659080751,0.00112825342718236
140,"V>0.80",865,0.00813084246412527,0.00916717242215838,0.00031169321329005,0.000611764463181369
150,"0.51<V<0.80",776,0.0144039067205423,0.0223763798934415,0.000803265225241312,0.00157683348162736
150,"V<0.51",728,0.0129871401501058,0.0168348640618303,0.000623941574095712,0.00122494233149899
150,"V>0.80",808,0.00864468456211908,0.0100199416072611,0.00035250031566049,0.000691925668734022
160,"0.51<V<0.80",722,0.0145508333193907,0.0208793712640963,0.000777049737250213,0.0015255504124889
160,"V<0.51",673,0.0141713888704754,0.0182311560348634,0.00070275942037338,0.00137986840912776
160,"V>0.80",753,0.00920515723052533,0.00987362242262741,0.00035981480359753,0.000706360931734524
170,"0.51<V<0.80",670,0.0152705173184804,0.0215763416721846,0.000833566801086099,0.00163672199719017
170,"V<0.51",620,0.0147732629017402,0.0187850870830685,0.000754427252011864,0.00148154709446367
170,"V>0.80",697,0.00990397982396237,0.0106380636797386,0.000402945394789986,0.000791134225842869
180,"0.51<V<0.80",617,0.0163347036843445,0.0225642817020349,0.000908403776387062,0.00178394379643001
180,"V<0.51",569,0.015504507469178,0.0191827301658244,0.000804181882537658,0.00157953326632223
180,"V>0.80",642,0.0103152426316077,0.0109508269918714,0.000432194667050921,0.000848688460259104
190,"0.51<V<0.80",562,0.0166584200670233,0.0223572317365558,0.000943082900657496,0.00185240495632189
190,"V<0.51",520,0.0159943645920067,0.0189827324707679,0.000832447887092348,0.00163538161030164
190,"V>0.80",589,0.0108613878553141,0.0112257564236147,0.000462549235267335,0.000908449767337013
200,"0.51<V<0.80",508,0.0176994994995716,0.0237116721208084,0.001052035330277,0.00206688544136221
200,"V<0.51",472,0.0165830857651603,0.0195353147231096,0.000899185744337505,0.00176691203795508
200,"V>0.80",537,0.0114777716000518,0.011692275334389,0.000504558922916741,0.000991155399168922
