"filebasename","mito_id","n_aggs","meandist2centroid","drugtime","gt"
"20220520_y218_d5mi10s_snapshot_120mBE_000_D3Dc005_predict_predict.tif",1,2,1.04018694516477,120,"y218"
"20220520_y218_d5mi10s_snapshot_120mBE_000_D3Dc006_predict_predict.tif",1,4,1.79486010244685,120,"y218"
"20220520_y218_d5mi10s_snapshot_120mBE_000_D3Dc008_predict_predict.tif",1,1,0,120,"y218"
"20220520_y218_d5mi10s_snapshot_120mBE_000_D3Dc008_predict_predict.tif",3,1,0,120,"y218"
"20220520_y218_d5mi10s_snapshot_120mBE_000_D3Dc009_predict_predict.tif",1,2,0.538088356996679,120,"y218"
"20220520_y218_d5mi10s_snapshot_120mBE_000_D3Dc011_predict_predict.tif",1,4,1.01787366044133,120,"y218"
"20220520_y218_d5mi10s_snapshot_120mBE_000_D3Dc011_predict_predict.tif",2,1,0,120,"y218"
"20220520_y218_d5mi10s_snapshot_120mBE_000_D3Dc011_predict_predict.tif",4,1,0,120,"y218"
"20220520_y218_d5mi10s_snapshot_120mBE_000_D3Dc012_predict_predict.tif",3,1,0,120,"y218"
"20220520_y218_d5mi10s_snapshot_120mBE_001_D3Dc004_predict_predict.tif",2,1,0,120,"y218"
"20220520_y218_d5mi10s_snapshot_120mBE_001_D3Dc004_predict_predict.tif",3,1,0,120,"y218"
"20220520_y218_d5mi10s_snapshot_120mBE_001_D3Dc005_predict_predict.tif",1,3,0.723235091224085,120,"y218"
"20220520_y218_d5mi10s_snapshot_120mBE_001_D3Dc005_predict_predict.tif",2,2,0.507256873633341,120,"y218"
"20220520_y218_d5mi10s_snapshot_120mBE_001_D3Dc008_predict_predict.tif",1,3,0.526361477869509,120,"y218"
"20220520_y218_d5mi10s_snapshot_120mBE_002_D3Dc000_predict_predict.tif",1,3,1.47578513734695,120,"y218"
"20220520_y218_d5mi10s_snapshot_120mBE_002_D3Dc003_predict_predict.tif",1,1,0,120,"y218"
"20220520_y218_d5mi10s_snapshot_120mBE_002_D3Dc003_predict_predict.tif",3,1,0,120,"y218"
"20220520_y218_d5mi10s_snapshot_120mBE_002_D3Dc004_predict_predict.tif",3,2,0.392085872823062,120,"y218"
