"filebasename","mito_id","n_aggs","meandist2centroid","gt"
"20220601_y236_000_D3Dc000_predict_predict.tif",1,2,1.4318116365096,"y236"
"20220601_y236_000_D3Dc001_predict_predict.tif",1,1,0,"y236"
"20220601_y236_000_D3Dc001_predict_predict.tif",2,1,0,"y236"
"20220601_y236_000_D3Dc002_predict_predict.tif",1,1,0,"y236"
"20220601_y236_000_D3Dc002_predict_predict.tif",2,1,0,"y236"
"20220601_y236_000_D3Dc004_predict_predict.tif",1,1,0,"y236"
"20220601_y236_001_D3Dc000_predict_predict.tif",2,2,1.21537439868042,"y236"
"20220601_y236_001_D3Dc003_predict_predict.tif",1,2,0.620407010969899,"y236"
"20220601_y236_001_D3Dc006_predict_predict.tif",2,3,0.676781337660524,"y236"
"20220601_y236_001_D3Dc007_predict_predict.tif",3,1,0,"y236"
"20220601_y236_002_D3Dc002_predict_predict.tif",2,3,1.1389547549127,"y236"
"20220601_y236_002_D3Dc004_predict_predict.tif",1,2,1.62529142970602,"y236"
"20220601_y236_002_D3Dc007_predict_predict.tif",1,1,0,"y236"
"20220601_y236_002_D3Dc007_predict_predict.tif",2,1,0,"y236"
"20220601_y236_002_D3Dc010_predict_predict.tif",3,1,0,"y236"
"20220601_y236_003_D3Dc000_predict_predict.tif",1,1,0,"y236"
"20220601_y236_003_D3Dc000_predict_predict.tif",2,1,0,"y236"
"20220601_y236_003_D3Dc001_predict_predict.tif",1,1,0,"y236"
"20220601_y236_003_D3Dc002_predict_predict.tif",1,1,0,"y236"
"20220601_y236_003_D3Dc003_predict_predict.tif",1,1,0,"y236"
"20220601_y236_003_D3Dc005_predict_predict.tif",2,1,0,"y236"
"20220601_y236_003_D3Dc007_predict_predict.tif",2,2,0.373583239140375,"y236"
"20220601_y236_003_D3Dc007_predict_predict.tif",4,1,0,"y236"
"20220601_y236_003_D3Dc007_predict_predict.tif",5,1,0,"y236"
"20220601_y236_004_D3Dc000_predict_predict.tif",2,1,0,"y236"
"20220601_y236_004_D3Dc000_predict_predict.tif",4,1,0,"y236"
"20220601_y236_004_D3Dc001_predict_predict.tif",1,2,0.442655803711187,"y236"
"20220601_y236_004_D3Dc002_predict_predict.tif",1,1,0,"y236"
"20220601_y236_004_D3Dc002_predict_predict.tif",2,1,0,"y236"
"20220601_y236_004_D3Dc006_predict_predict.tif",1,2,0.462495295607572,"y236"
"20220601_y236_004_D3Dc007_predict_predict.tif",1,1,0,"y236"
"20220601_y236_005_D3Dc000_predict_predict.tif",1,1,0,"y236"
"20220601_y236_005_D3Dc001_predict_predict.tif",1,1,0,"y236"
"20220601_y236_005_D3Dc002_predict_predict.tif",1,2,0.582311770293413,"y236"
"20220601_y236_005_D3Dc004_predict_predict.tif",2,1,0,"y236"
"20220601_y236_005_D3Dc006_predict_predict.tif",1,1,0,"y236"
"20220601_y236_005_D3Dc007_predict_predict.tif",2,1,0,"y236"
"20220601_y236_005_D3Dc008_predict_predict.tif",1,1,0,"y236"
"20220601_y236_005_D3Dc009_predict_predict.tif",1,1,0,"y236"
"20220601_y236_005_D3Dc009_predict_predict.tif",4,1,0,"y236"
"20220601_y236_006_D3Dc000_predict_predict.tif",1,1,0,"y236"
"20220601_y236_006_D3Dc002_predict_predict.tif",3,1,0,"y236"
"20220601_y236_006_D3Dc003_predict_predict.tif",1,2,1.30132470409357,"y236"
"20220601_y236_006_D3Dc004_predict_predict.tif",1,1,0,"y236"
"20220601_y236_006_D3Dc004_predict_predict.tif",2,1,0,"y236"
"20220601_y236_006_D3Dc006_predict_predict.tif",1,1,0,"y236"
"20220601_y236_006_D3Dc007_predict_predict.tif",1,1,0,"y236"
"20220601_y236_007_D3Dc001_predict_predict.tif",1,1,0,"y236"
"20220601_y236_007_D3Dc001_predict_predict.tif",3,1,0,"y236"
"20220601_y236_007_D3Dc002_predict_predict.tif",1,1,0,"y236"
"20220601_y236_007_D3Dc003_predict_predict.tif",1,2,1.57237369000529,"y236"
"20220601_y236_007_D3Dc007_predict_predict.tif",1,1,0,"y236"
"20220617_y236_000_D3Dc001_predict_predict.tif",1,2,1.09275088482307,"y236"
"20220617_y236_000_D3Dc002_predict_predict.tif",1,2,0.679714420809611,"y236"
"20220617_y236_000_D3Dc004_predict_predict.tif",3,1,0,"y236"
"20220617_y236_000_D3Dc005_predict_predict.tif",3,1,0,"y236"
"20220617_y236_000_D3Dc006_predict_predict.tif",2,3,0.896640869672373,"y236"
"20220617_y236_000_D3Dc008_predict_predict.tif",1,1,0,"y236"
"20220617_y236_000_D3Dc008_predict_predict.tif",2,1,0,"y236"
"20220617_y236_000_D3Dc011_predict_predict.tif",1,3,1.38032192320005,"y236"
"20220617_y236_000_D3Dc011_predict_predict.tif",2,1,0,"y236"
"20220617_y236_001_D3Dc000_predict_predict.tif",1,1,0,"y236"
"20220617_y236_001_D3Dc001_predict_predict.tif",3,1,0,"y236"
"20220617_y236_001_D3Dc002_predict_predict.tif",1,1,0,"y236"
"20220617_y236_001_D3Dc002_predict_predict.tif",2,1,0,"y236"
"20220617_y236_001_D3Dc006_predict_predict.tif",1,1,0,"y236"
"20220617_y236_001_D3Dc006_predict_predict.tif",2,1,0,"y236"
"20220617_y236_001_D3Dc007_predict_predict.tif",1,1,0,"y236"
"20220617_y236_002_D3Dc000_predict_predict.tif",1,1,0,"y236"
"20220617_y236_002_D3Dc001_predict_predict.tif",1,1,0,"y236"
"20220617_y236_002_D3Dc001_predict_predict.tif",2,2,0.531462399281033,"y236"
"20220617_y236_002_D3Dc002_predict_predict.tif",1,1,0,"y236"
"20220617_y236_003_D3Dc000_predict_predict.tif",2,1,0,"y236"
"20220617_y236_003_D3Dc000_predict_predict.tif",4,1,0,"y236"
"20220617_y236_003_D3Dc000_predict_predict.tif",5,2,0.371059905507789,"y236"
"20220617_y236_003_D3Dc003_predict_predict.tif",1,2,0.699107596323756,"y236"
"20220617_y236_004_D3Dc000_predict_predict.tif",1,1,0,"y236"
"20220617_y236_004_D3Dc001_predict_predict.tif",1,1,0,"y236"
"20220617_y236_004_D3Dc003_predict_predict.tif",1,1,0,"y236"
"20220617_y236_004_D3Dc004_predict_predict.tif",1,2,1.04511024331755,"y236"
"20220617_y236_004_D3Dc004_predict_predict.tif",2,1,0,"y236"
"20220617_y236_005_D3Dc001_predict_predict.tif",1,2,0.364911414398889,"y236"
"20220617_y236_005_D3Dc002_predict_predict.tif",1,3,0.606213290342903,"y236"
"20220617_y236_005_D3Dc003_predict_predict.tif",1,3,0.572196167012425,"y236"
"20220617_y236_005_D3Dc008_predict_predict.tif",1,1,0,"y236"
"20220617_y236_006_D3Dc001_predict_predict.tif",2,1,0,"y236"
"20220617_y236_006_D3Dc002_predict_predict.tif",1,1,0,"y236"
"20220617_y236_006_D3Dc002_predict_predict.tif",2,1,0,"y236"
"20220617_y236_006_D3Dc004_predict_predict.tif",1,1,0,"y236"
"20220617_y236_006_D3Dc005_predict_predict.tif",2,1,0,"y236"
"20220617_y236_006_D3Dc005_predict_predict.tif",4,1,0,"y236"
"20220617_y236_006_D3Dc007_predict_predict.tif",1,1,0,"y236"
"20220617_y236_006_D3Dc008_predict_predict.tif",1,1,0,"y236"
"20220617_y236_006_D3Dc009_predict_predict.tif",1,2,0.38376926755335,"y236"
"20220617_y236_007_D3Dc000_predict_predict.tif",2,1,0,"y236"
"20220617_y236_007_D3Dc001_predict_predict.tif",1,1,0,"y236"
"20220617_y236_007_D3Dc001_predict_predict.tif",2,2,0.357654043198144,"y236"
"20220617_y236_007_D3Dc002_predict_predict.tif",1,2,1.23661047009722,"y236"
"20220617_y236_007_D3Dc004_predict_predict.tif",1,1,0,"y236"
"20220617_y236_007_D3Dc004_predict_predict.tif",2,1,0,"y236"
"20220617_y236_007_D3Dc005_predict_predict.tif",1,1,0,"y236"
"20220617_y236_008_D3Dc000_predict_predict.tif",2,1,0,"y236"
"20220617_y236_008_D3Dc001_predict_predict.tif",1,1,0,"y236"
"20220617_y236_008_D3Dc002_predict_predict.tif",2,2,0.376426369958845,"y236"
"20220617_y236_008_D3Dc002_predict_predict.tif",3,2,0.501588825206008,"y236"
"20220617_y236_008_D3Dc004_predict_predict.tif",2,1,0,"y236"
"20220617_y236_008_D3Dc007_predict_predict.tif",1,2,2.09460288799856,"y236"
"20220617_y236_009_D3Dc000_predict_predict.tif",2,1,0,"y236"
"20220617_y236_009_D3Dc001_predict_predict.tif",1,1,0,"y236"
"20220617_y236_009_D3Dc004_predict_predict.tif",1,1,0,"y236"
"20220617_y236_009_D3Dc005_predict_predict.tif",1,2,0.299996542789678,"y236"
"20220617_y236_009_D3Dc006_predict_predict.tif",1,2,0.467160550079863,"y236"
"20220617_y236_010_D3Dc000_predict_predict.tif",2,1,0,"y236"
"20220617_y236_010_D3Dc002_predict_predict.tif",5,1,0,"y236"
"20220617_y236_011_D3Dc000_predict_predict.tif",1,1,0,"y236"
"20220617_y236_011_D3Dc001_predict_predict.tif",1,1,0,"y236"
"20220617_y236_011_D3Dc002_predict_predict.tif",1,2,0.671110271304657,"y236"
"20220617_y236_011_D3Dc003_predict_predict.tif",1,1,0,"y236"
"20220617_y236_011_D3Dc003_predict_predict.tif",2,1,0,"y236"
"20220617_y236_011_D3Dc005_predict_predict.tif",1,2,0.451144113490606,"y236"
"20220617_y236_011_D3Dc006_predict_predict.tif",1,1,0,"y236"
"20220617_y236_011_D3Dc007_predict_predict.tif",1,2,1.09313057497764,"y236"
"20220617_y236_011_D3Dc008_predict_predict.tif",1,3,0.941460825696228,"y236"
"20220617_y236_011_D3Dc008_predict_predict.tif",2,1,0,"y236"
"20220617_y236_012_D3Dc001_predict_predict.tif",1,2,1.99674009389966,"y236"
"20220617_y236_012_D3Dc002_predict_predict.tif",1,3,0.815578916556068,"y236"
"20220617_y236_012_D3Dc003_predict_predict.tif",2,2,0.672157516583534,"y236"
"20220617_y236_012_D3Dc004_predict_predict.tif",3,2,0.603346981088332,"y236"
"20220617_y236_012_D3Dc005_predict_predict.tif",1,1,0,"y236"
"20220617_y236_012_D3Dc005_predict_predict.tif",2,1,0,"y236"
"20220617_y236_012_D3Dc009_predict_predict.tif",1,2,0.695206389359701,"y236"
"20220617_y236_012_D3Dc010_predict_predict.tif",2,2,0.428732102831774,"y236"
"20220617_y236_012_D3Dc019_predict_predict.tif",1,1,0,"y236"
"20220617_y236_013_D3Dc000_predict_predict.tif",1,1,0,"y236"
"20220617_y236_013_D3Dc001_predict_predict.tif",2,1,0,"y236"
"20220617_y236_013_D3Dc002_predict_predict.tif",1,1,0,"y236"
"20220617_y236_013_D3Dc003_predict_predict.tif",1,2,0.608974380629501,"y236"
"20220617_y236_013_D3Dc006_predict_predict.tif",2,1,0,"y236"
"20220617_y236_013_D3Dc009_predict_predict.tif",1,2,0.835512564982562,"y236"
"20220617_y236_013_D3Dc010_predict_predict.tif",1,1,0,"y236"
"20220617_y236_013_D3Dc013_predict_predict.tif",1,2,0.719776457613538,"y236"
"20220617_y236_013_D3Dc013_predict_predict.tif",2,1,0,"y236"
"20220617_y236_013_D3Dc015_predict_predict.tif",1,1,0,"y236"
"20220617_y236_013_D3Dc015_predict_predict.tif",3,1,0,"y236"
"20220617_y236_013_D3Dc018_predict_predict.tif",1,2,1.09723242741816,"y236"
"20220617_y236_013_D3Dc019_predict_predict.tif",1,2,1.07525904154492,"y236"
"20220617_y236_013_D3Dc024_predict_predict.tif",1,1,0,"y236"
"20220617_y236_014_D3Dc001_predict_predict.tif",2,2,1.13760390979602,"y236"
"20220617_y236_014_D3Dc002_predict_predict.tif",1,2,2.12837493522709,"y236"
"20220617_y236_014_D3Dc003_predict_predict.tif",1,1,0,"y236"
"20220617_y236_014_D3Dc005_predict_predict.tif",1,1,0,"y236"
"20220617_y236_014_D3Dc006_predict_predict.tif",1,1,0,"y236"
"20220617_y236_014_D3Dc010_predict_predict.tif",1,3,1.85230132832881,"y236"
"20220617_y236_014_D3Dc010_predict_predict.tif",3,1,0,"y236"
"20220617_y236_014_D3Dc011_predict_predict.tif",1,1,0,"y236"
"20220617_y236_014_D3Dc013_predict_predict.tif",1,1,0,"y236"
"20220617_y236_014_D3Dc017_predict_predict.tif",2,1,0,"y236"
"20220617_y236_014_D3Dc017_predict_predict.tif",3,1,0,"y236"
"20220617_y236_014_D3Dc018_predict_predict.tif",1,1,0,"y236"
"20220617_y236_014_D3Dc018_predict_predict.tif",2,2,0.546313321360058,"y236"
"20220617_y236_014_D3Dc019_predict_predict.tif",3,1,0,"y236"
"20220617_y236_014_D3Dc020_predict_predict.tif",1,2,0.491260408814369,"y236"
"20220617_y236_014_D3Dc021_predict_predict.tif",1,1,0,"y236"
"20220617_y236_015_D3Dc000_predict_predict.tif",1,2,0.493222673081167,"y236"
"20220617_y236_015_D3Dc002_predict_predict.tif",4,2,0.623227157158269,"y236"
"20220617_y236_015_D3Dc003_predict_predict.tif",1,2,0.728759589054291,"y236"
"20220617_y236_015_D3Dc004_predict_predict.tif",2,2,0.404456425033632,"y236"
"20220617_y236_015_D3Dc007_predict_predict.tif",1,2,0.653965440948044,"y236"
"20220617_y236_015_D3Dc007_predict_predict.tif",3,1,0,"y236"
"20220617_y236_015_D3Dc009_predict_predict.tif",2,2,0.389851644609274,"y236"
"20220617_y236_015_D3Dc010_predict_predict.tif",1,2,1.03059741364535,"y236"
"20220617_y236_015_D3Dc011_predict_predict.tif",1,1,0,"y236"
"20220617_y236_015_D3Dc013_predict_predict.tif",1,1,0,"y236"
"20220617_y236_015_D3Dc015_predict_predict.tif",1,1,0,"y236"
"20220617_y236_015_D3Dc016_predict_predict.tif",1,2,2.46197350948149,"y236"
"20220617_y236_015_D3Dc017_predict_predict.tif",2,2,0.526476881042174,"y236"
"20220617_y236_015_D3Dc021_predict_predict.tif",1,2,0.389047806979627,"y236"
"20220617_y236_016_D3Dc000_predict_predict.tif",1,1,0,"y236"
"20220617_y236_016_D3Dc002_predict_predict.tif",1,2,0.68192575978311,"y236"
"20220617_y236_016_D3Dc003_predict_predict.tif",1,1,0,"y236"
"20220617_y236_016_D3Dc005_predict_predict.tif",2,1,0,"y236"
"20220617_y236_016_D3Dc006_predict_predict.tif",1,2,0.398676790301074,"y236"
"20220617_y236_016_D3Dc007_predict_predict.tif",1,2,1.87356499133041,"y236"
"20220617_y236_016_D3Dc008_predict_predict.tif",1,1,0,"y236"
"20220617_y236_016_D3Dc008_predict_predict.tif",2,1,0,"y236"
"20220617_y236_016_D3Dc009_predict_predict.tif",2,2,0.352110567641978,"y236"
"20220617_y236_016_D3Dc011_predict_predict.tif",1,3,1.31869930541139,"y236"
"20220617_y236_016_D3Dc011_predict_predict.tif",2,1,0,"y236"
"20220617_y236_016_D3Dc012_predict_predict.tif",3,1,0,"y236"
"20220617_y236_016_D3Dc013_predict_predict.tif",1,1,0,"y236"
"20220617_y236_016_D3Dc013_predict_predict.tif",2,1,0,"y236"
"20220617_y236_017_D3Dc000_predict_predict.tif",1,2,1.03673945094173,"y236"
"20220617_y236_017_D3Dc000_predict_predict.tif",2,2,0.682625915822056,"y236"
"20220617_y236_017_D3Dc002_predict_predict.tif",1,2,0.58474105968993,"y236"
"20220617_y236_017_D3Dc004_predict_predict.tif",1,1,0,"y236"
"20220617_y236_017_D3Dc005_predict_predict.tif",1,4,1.5359182350333,"y236"
"20220617_y236_017_D3Dc007_predict_predict.tif",1,2,0.493714341928359,"y236"
"20220617_y236_017_D3Dc012_predict_predict.tif",1,1,0,"y236"
"20220617_y236_017_D3Dc013_predict_predict.tif",1,1,0,"y236"
"20220617_y236_017_D3Dc013_predict_predict.tif",4,2,0.897411313159229,"y236"
"20220617_y236_017_D3Dc015_predict_predict.tif",1,2,0.454721297765675,"y236"
"20220617_y236_017_D3Dc017_predict_predict.tif",2,2,1.3174982959098,"y236"
"20220617_y236_017_D3Dc019_predict_predict.tif",2,1,0,"y236"
"20220617_y236_018_D3Dc000_predict_predict.tif",1,2,0.3832816655703,"y236"
"20220617_y236_018_D3Dc004_predict_predict.tif",1,1,0,"y236"
"20220617_y236_018_D3Dc004_predict_predict.tif",2,1,0,"y236"
"20220617_y236_018_D3Dc004_predict_predict.tif",3,1,0,"y236"
"20220617_y236_018_D3Dc008_predict_predict.tif",4,2,0.37964510555085,"y236"
"20220617_y236_018_D3Dc009_predict_predict.tif",1,2,0.789855400207534,"y236"
"20220617_y236_018_D3Dc011_predict_predict.tif",1,1,0,"y236"
"20220617_y236_018_D3Dc012_predict_predict.tif",1,1,0,"y236"
"20220617_y236_018_D3Dc013_predict_predict.tif",1,2,0.429566115939592,"y236"
"20220617_y236_018_D3Dc013_predict_predict.tif",2,1,0,"y236"
"20220617_y236_019_D3Dc000_predict_predict.tif",1,1,0,"y236"
"20220617_y236_019_D3Dc003_predict_predict.tif",1,3,2.11576636174442,"y236"
"20220617_y236_019_D3Dc007_predict_predict.tif",2,1,0,"y236"
"20220617_y236_019_D3Dc008_predict_predict.tif",1,2,1.52780593213852,"y236"
"20220617_y236_019_D3Dc010_predict_predict.tif",1,3,2.10741809663312,"y236"
"20220617_y236_019_D3Dc011_predict_predict.tif",1,2,0.499811177849922,"y236"
"20220617_y236_019_D3Dc013_predict_predict.tif",2,1,0,"y236"
"20220617_y236_019_D3Dc014_predict_predict.tif",1,2,1.41133384395174,"y236"
